title,company,salary,experience,location,skills,url,source,scraped_at,job_date_str
"Chuyên Viên Digital Marketing (Facebook Ads, Google Ads)",MISA Jointstock Company,15tr-30tr ₫/tháng,,Hà Nội,"Digital Marketing, Facebook Ads, Google Ads",https://www.vietnamworks.com/chuyen-vien-digital-marketing-facebook-ads-google-ads-2063295-jv?source=searchResults&searchType=2&placement=2063295&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:56,
Chuyên Viên Quan Hệ Đối Ngoại (Các Tập Đoàn Lớn - Nhóm Vnr500),MISA Jointstock Company,Thương lượng,,Hà Nội,"Market Research, B2B Sales, Business Development",https://www.vietnamworks.com/chuyen-vien-quan-he-doi-ngoai-cac-tap-doan-lon-nhom-vnr500-2063316-jv?source=searchResults&searchType=2&placement=2063316&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:56,
Trợ Lý Tư Vấn ERP (Yêu Cầu Tiếng Trung),"Yonyou Network Technology Co., Ltd",15tr-25tr ₫/tháng,,"Hồ Chí Minh, Hà Nội","ERP Systems, SQL, Triển Khai ERP",https://www.vietnamworks.com/tro-ly-tu-van-erp-yeu-cau-tieng-trung-2062037-jv?source=searchResults&searchType=2&placement=2062037&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:56,
"Chuyên Viên Digital Marketing (Facebook Ads, Google Ads)",MISA Jointstock Company,15tr-30tr ₫/tháng,,Hà Nội,"Digital Marketing, Facebook Ads, Google Ads",https://www.vietnamworks.com/chuyen-vien-digital-marketing-facebook-ads-google-ads-2063295-jv?source=searchResults&searchType=2&placement=2063345&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:25,
Chuyên Viên Quan Hệ Đối Ngoại (Các Tập Đoàn Lớn - Nhóm Vnr500),MISA Jointstock Company,Thương lượng,,Hà Nội,"Market Research, B2B Sales, Business Development",https://www.vietnamworks.com/chuyen-vien-quan-he-doi-ngoai-cac-tap-doan-lon-nhom-vnr500-2063316-jv?source=searchResults&searchType=2&placement=2063366&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:25,
Trợ Lý Tư Vấn ERP (Yêu Cầu Tiếng Trung),"Yonyou Network Technology Co., Ltd",15tr-25tr ₫/tháng,,"Hồ Chí Minh, Hà Nội","ERP Systems, SQL, Triển Khai ERP",https://www.vietnamworks.com/tro-ly-tu-van-erp-yeu-cau-tieng-trung-2062037-jv?source=searchResults&searchType=2&placement=2062087&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:25,
"Chuyên Viên Presale (Cloud, An Ninh Mạng)",Trung Tâm Công Nghệ Thông Tin MobiFone,Thương lượng,,Hà Nội,"An Toàn Thông Tin, Cloud Computing",https://www.vietnamworks.com/chuyen-vien-presale-cloud-an-ninh-mang-2043672-jv?source=searchResults&searchType=2&placement=2043722&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:25,
Chuyên Viên Kinh Doanh Dự Án CNTT,Trung Tâm Công Nghệ Thông Tin MobiFone,Thương lượng,,Hà Nội,"Chuyển Đổi Số, Giải Pháp Công Nghệ",https://www.vietnamworks.com/chuyen-vien-kinh-doanh-du-an-cntt-2043676-jv?source=searchResults&searchType=2&placement=2043726&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:26,
[HOT] Chuyên Gia Phát Triển Sản Phẩm/Giải Pháp CNTT,Trung Tâm Công Nghệ Thông Tin MobiFone,Thương lượng,,Hà Nội,"Giải Pháp Công Nghệ, Phân Tích Dữ Liệu",https://www.vietnamworks.com/hot-chuyen-gia-phat-trien-san-phamgiai-phap-cntt-2043667-jv?source=searchResults&searchType=2&placement=2043717&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:26,
Chuyên Viên Cao Cấp Quản Trị Rủi Ro Hoạt Động,One Mount,"$ 1,000-1,200 /tháng",,Hà Nội,"Risk Management, Operational Risks Management",https://www.vietnamworks.com/chuyen-vien-cao-cap-quan-tri-rui-ro-hoat-dong--2063195-jv?source=searchResults&searchType=2&placement=2063245&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:26,
Nhân Sự Tổng Hợp (Senior Hr Generalist),CÔNG TY TNHH SOFTROAD,Tới 30tr ₫/tháng,,Hà Nội,"C&B, Quản Lý Hiệu Suất, Luật Lao Động",https://www.vietnamworks.com/nhan-su-tong-hop-senior-hr-generalist-2068265-jv?source=searchResults&searchType=2&placement=2068315&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:26,
Android Framework Engineer,Văn phòng đại diện KPIT TECHNOLOGIES LIMITED tại thành phố Hà Nội,"$ 1,500-2,000 /tháng",,Hà Nội,"C/C++ Programming, Network Analysis",https://www.vietnamworks.com/android-framework-engineer-2061821-jv?source=searchResults&searchType=2&placement=2061871&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:26,
Nhân Viên Truyền Thông (Ads & Content),"Sumitomo Electric Interconnect Products (Vietnam), Ltd. [Sepv]",Thương lượng,,Hà Nội,"Phân Tích Dữ Liệu, Advertising, Content Development",https://www.vietnamworks.com/nhan-vien-truyen-thong-ads-and-content-2061751-jv?source=searchResults&searchType=2&placement=2061801&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:26,
Senior Account Manager,Công Ty TNHH Diebold Nixdorf Việt Nam,Thương lượng,,Hà Nội,"Business Development, Account Management, Direct Sales",https://www.vietnamworks.com/senior-account-manager--2062945-jv?source=searchResults&searchType=2&placement=2062995&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:26,
Account Manager (B2B / Enterprise),Công Ty CP Giải Pháp Kinh Doanh Nền Tảng - Basebs,Từ $ 900 /tháng,,"Hồ Chí Minh, Hà Nội","Tìm Kiếm Khách Hàng, Phát Triển Khách Hàng, Tư Vấn Giải Pháp",https://www.vietnamworks.com/account-manager-b2b-enterprise-2052097-jv?source=searchResults&searchType=2&placement=2052147&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:26,
(Senior) Learning and Development Specialist,Crossian Việt Nam,Thương lượng,,"Hà Nội, Hồ Chí Minh","Coaching, Learning and Development, Talent Development",https://www.vietnamworks.com/senior-learning-and-development-specialist--2058240-jv?source=searchResults&searchType=2&placement=2058290&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:27,
Technical Advisor,FPT Software,Thương lượng,,"Hà Nội, Đà Nẵng, Hồ Chí Minh","Product Planning, IT Project Management, Technical",https://www.vietnamworks.com/technical-advisor-2064806-jv?source=searchResults&searchType=2&placement=2064856&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:27,
Cộng Tác Viên Hành Chính,One Mount,Thương lượng,,Hà Nội,"Hành Chính, MS Office, Customer Service",https://www.vietnamworks.com/cong-tac-vien-hanh-chinh--2065551-jv?source=searchResults&searchType=2&placement=2065601&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:27,
"Technical Support Engineer (Flexible Shift, Open for Fresher)",ITECHWX COMPANY LIMITED,16tr-20tr ₫/tháng,,"Hà Nội, Hồ Chí Minh","Customer Service, Technical, Technical Support & Customer Service",https://www.vietnamworks.com/technical-support-engineer-flexible-shift-open-for-fresher-2057262-jv?source=searchResults&searchType=2&placement=2057312&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:27,
Trưởng Phòng Kinh Doanh (Viễn thông/CNTT),Công Ty Cổ Phần HTC Viễn Thông Quốc Tế,Tới 25tr ₫/tháng,,Hà Nội,"Cntt, Kinh Doanh B2B, Kỹ Năng Lãnh Đạo",https://www.vietnamworks.com/truong-phong-kinh-doanh-vien-thongcntt-2064598-jv?source=searchResults&searchType=2&placement=2064648&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:27,
Viettel Tuyển Dụng Mobile Developer / Lương Upto 50M,Viettel Vtt,Thương lượng,,Hà Nội,"IT, Mobile Development, Android",https://www.vietnamworks.com/viettel-tuyen-dung-mobile-developer-luong-upto-50m-2041224-jv?source=searchResults&searchType=2&placement=2041274&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:27,
"Viettel Tuyển Dụng iOS Developer (Swift, Firebase)",Tổng Công Ty Viễn Thông Viettel - Chi Nhánh Tập Đoàn Công Nghiệp - Viễn Thông Quân Đội,Thương lượng,,Hà Nội,"Mobile Development, iOS, VoIP",https://www.vietnamworks.com/viettel-tuyen-dung-ios-developer-swift-firebase-2044873-jv?source=searchResults&searchType=2&placement=2044923&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:27,
Viettel Tuyển Dụng Mobile Developer / Lương Upto 50M,Tổng Công Ty Viễn Thông Viettel (Viettel Telecom),Tới $ 50tr /tháng,,Hà Nội,"IT, Mobile Development, Android",https://www.vietnamworks.com/viettel-tuyen-dung-mobile-developer-luong-upto-50m--2046028-jv?source=searchResults&searchType=2&placement=2046078&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:27,
Data Engineer,Volio Vietnam,Tới 50tr ₫/tháng,,Hà Nội,"Data Science, SQL, Python",https://www.vietnamworks.com/data-engineer-2057330-jv?source=searchResults&searchType=2&placement=2057380&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:27,
AI Engineer (Middle Level) (Thu Nhập 20-30 Triệu),K&M Holdings,20tr-30tr ₫/tháng,,Hà Nội,"Python, Git, LangChain",https://www.vietnamworks.com/ai-engineer-middle-level-thu-nhap-20-30-trieu-2064255-jv?source=searchResults&searchType=2&placement=2064305&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:28,
SAP ABAP Developer,Công Ty CP Hyundai Aluminum Vina,Thương lượng,,Hà Nội,"Analytical Thinking, Customer Service, Problem-solving",https://www.vietnamworks.com/sap-abap-developer-2064373-jv?source=searchResults&searchType=2&placement=2064423&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:28,
Chuyên Viên Tối Ưu Thiết Kế Hạ Tầng Cloud,Công Ty Cổ Phần Sunteco,20tr-35tr ₫/tháng,,Hà Nội,"Docker, AI, Cloud",https://www.vietnamworks.com/chuyen-vien-toi-uu-thiet-ke-ha-tang-cloud-2064368-jv?source=searchResults&searchType=2&placement=2064418&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:28,
Sale Admin Tiếng Hàn,Megazone Vietnam Company limited,Thương lượng,,Hà Nội,"Phiên Dịch Tiếng Hàn, Quản Lý Chứng Từ, Topik 5",https://www.vietnamworks.com/sale-admin-tieng-han-2061052-jv?source=searchResults&searchType=2&placement=2061102&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:28,
